sku;family;description;ProductName;brand
25904120;camcorders;"Keep valuable memories fresh for everyone to enjoy with the solid integrity and all-around ease of the PJ410 Handycam®. Optical SteadyShot™ with Intelligent Active Mode prevents camera shake and blur from ruining pictures. AVCHD and XAVC S formats ensure faithful and vibrant recordings. It's all so compact and always ready to go.<br>
<br>
- Optical SteadyShot™ with Intelligent Active Mode<br>
- XAVC S (HD 50 Mbps) and AVCHD recording<br>
- Exmor R™ CMOS sensor<br>
- 26.8mm wide-angle ZEISS lens with 30x optical zoom<br>
- Built-in projector";HDRPJ410;sony
25904123;camcorders;"<b>Optical SteadyShot™ with Intelligent Active Mode</b><br>
<br>
Advanced image stabilisation keeps footage blur-free, even when the recording circumstances or the user's hands are shaky.<br>
<br>
<b>Up to 26.8mm wide-angle lens</b><br>
<br>
Whether you’re shooting movies or still images, the class-leading wide angle lens can help you capture more of landscapes shots and indoor scenes, when you don't have enough room to step back. Even without a wide conversion lens, selected camcorders shoot as wide as 26.8mm1 (16:9 aspect ratio) in movie mode.<br>
<br>
<b>Exceptional image quality</b><br>
<br>
The high-bitrate XAVC S format is for videographers ready to take their work to the next level. Delivering incredible quality, XAVC S is built from the XAVC format used by professional filmmakers and broadcasters, while employing intelligent data compression to export consumer-friendly file sizes.<br>
<br>
<b>Highlight Movie Maker</b><br>
<br>
A versatile tool to streamline movie editing, Highlight Movie Maker offers several time-saving features. Add highlight markers to key moments while recording, and let the software automatically sync your transitions to your chosen soundtrack.<br>
<br>
<b>Motion Shot Video</b><br>
<br>
Motion Shot Video plays a sequence of superimposed images that trace recorded action in split-second intervals for you to analyse in detail. During playback, you can adjust the interval, or pause to capture and share a still image.<br>
<br>
<b>Built-in USB cable</b><br>
<br>
The built-in USB cable stowed in the hand strap is very convenient for extra-quick charging and connection to a PC, so there is no need to pack a bulky extra USB cable or AC adapter. For charging without a PC, use a compact AC-USB adapter (optional).<br>
<br>
<b>Exmor R™ CMOS sensor</b><br>
<br>
This large, cutting-edge sensor enhances image clarity, reduces noise in dark environments, and enables soft background defocusing.<br>
<br>
<b>BIONZ X™ image processor</b><br>
<br>
The advanced BIONZ X™ image processing engine helps achieve more naturally vivid and lifelike image quality as well as faster processing capabilities.<br>
<br>
<b>ZEISS lens</b><br>
<br>
Sharing a commitment to outstanding performance and design, Sony and Carl Zeiss co-develop lenses that combine the best possible optics with premium-quality electronics and sensor technology for Sony’s Handycam® models.<br>
<br>
<b>9.2MP still image capture</b><br>
<br>
Sometimes you don’t need — or want — video. Put your video camera in still image mode and capture amazing high-quality 9.2-megapixel single images as easily as you do with a still image camera.<br>
<br>
<b>Progressive Recording</b><br>
<br>
Clear movies, that contain twice the image data of movies recorded in interlace mode, can be recorded in Full HD at 60p/50p in progressive recording mode. The images are as smooth as those shot at 60/50 frames per second, and each frame is recorded as one full picture. So a still captured from a movie recorded in progressive mode looks extra-sharp.<br>
<br>
<b>Dual Video Recording2</b><br>
<br>
Record two movies at the same time — one in the maximum-quality XAVC S or AVCHD format and another in MP4 format. That way you’ve got a small file ready for instant sharing, plus a professional-grade file for further editing.<br>
<br>
<b>Dual Record mode</b><br>
<br>
Dual Record mode enables you to shoot HD video and high-resolution still images simultaneously to capture the best shot in both ways.3<br>
<br>
<b>Face Detection4</b><br>
<br>
This automatically optimises focus, exposure, and colour for best results. Select someone to be prioritised simply by touching their face on the LCD display, which is useful for selecting a key person when shooting at a crowded event. Even if the subject leaves the frame, they will be remembered and prioritised upon re-entering the scene.<br>
<br>
<b>Intelligent Auto</b><br>
<br>
This feature automatically determines the type of scene being shot and optimises a combination of settings from three groups (Face, Scene, Camera shake). It provides the best results for up to 1805 scene types, even at night and in backlit scenes. Selected settings are displayed as icons on the LCD screen for easy reference.<br>
<br>
<b>Smile Shutter4</b><br>
<br>
Because great smiles are fleeting, this feature ensures they’re never lost. Automatically capture snapshots of smiling faces, even while recording video.<br>
<br>
<b>Event Browse</b><br>
<br>
For easy browsing and playback, this Handycam® plays back GUI group videos and still images that have been recorded as separate events. You can choose from different display schemes from event view or index view as needed, for better organisation, searching, viewing, and sharing of your personal content.<br>
<br>
<b>Picture Effect</b><br>
<br>
Give free reign to your imagination. Picture Effect expands movie and photo enjoyment by letting you add up to seven creative effects (Partial Color, Retro Photo, Soft High-key, High Contrast Mono, Toy Camera, Pop Color, Posterization) without troublesome editing on a computer.<br>
<br>
<b>Manual settings for iris and shutter speed</b><br>
<br>
This camcorder gives you freedom to choose manual settings for iris and shutter speed control when shooting under backlit and underexposed conditions, as well as in other situations.<br>
<br>
<b>Dual memory card compatibility</b><br>
<br>
This Handycam® has slots for Memory Stick Micro™ and Micro SD/SDHC cards, so you can conveniently record to whichever one is more readily available.<br>
<br>
<b>PlayMemories™ Home6</b><br>
<br>
With PlayMemories™ Home software installed on a computer7, it’s easy to import footage from a Handycam® camcorder to view, edit, print, share via the web, burn files on to a disc, and even create a multi-view movie with a simultaneous split-screen view of up to four selected clips.<br>
<br>
<b>X type battery operation</b><br>
<br>
Use an extra-light, extra-compact X type battery to minimise the overall size and weight of this Handycam® in operation.";HDRCX405;sony
25904159;camcorders;"- Capture 4k/24p/30p video that far exceeds HD resolution<br>
- ZEISS® lens w/ Balanced Optical SteadyShot™ image stabilization<br>
- Direct Pixel Read Out for smooth edges and color gradation<br>
- Manual Control ring (Iris / Shutter / Exposure / White Balance)<br>
- Versatile shooting w/ XAVC S™3, AVCHD® and MP4 codecs<br>
- 0.27"" EVF (201K) and touch screen 3"" Xtra Fine LCD™ (921K)<br>
<br>
<b>Capture 4k/30p video that far exceeds HD resolution</b><br>
Capture the finest details in 4k (QFHD: 3840 x 2160), 4x Full HD resolution. The XAVC S™3codec and incredibly high resolution produces vibrant and extremely realistic images. What’s more, the blazingly fast image processor is the same one employed in professional Sony models, making it possible to record 30p movies in 4K and 60p in Full HD 1080 resolution for incredibly smooth and sharp playback, with no loss in realism, even when panning the camera and shooting moving subjects.<br>
<br>
<b>Balanced Optical SteadyShot™ image stabilization – for 4K</b><br>
Now for the first time in 4K, get the ultimate in image stabilization with B.O.S.S. On standard Optical SteadyShot™ camcorders, a single “shift lens” is moved in the optical block to offset camera shake. Balanced Optical SteadyShot™ moves the entire optical block at once, maintaining the integrity of the optical path and reducing shake and distortion in videos and still photos.<br>
<br>
<b>Premium ZEISS® optics</b><br>
Capture incredibly sharp 4K or HD with the newly developed ZEISS® Vario-Sonnar T* lens. Not only is this 29mm wide-angle ideal for capturing grand landscapes, you can also zoom to get you closer to the action with 10x optical zoom and 20x Clear Image Zoom.<br>
<br>
<b>Direct Pixel Read Out for smooth edges and color gradation</b><br>
The FDR-AX33 incorporates ‘direct pixel readout’ utilizing the entire width of the image sensor without line skipping or pixel binning. Therefore in both HD and 4K video acquisition it can read and process data from every one of the sensor’s pixels. This results in smooth edges and color gradation giving you the incredible video from a tiny camera.<br>
<br>
<b>Manual Control (Iris / Shutter / Exposure / White Balance)</b><br>
Get the most out of your camcorder with enhanced manual controls. The assignable dial allows for control of focus, exposure, white balance, iris, and shutter speed.<br>
<br>
<b>Versatile shooting w/ XAVC S™3, AVCHD and MP4 codecs</b><br>
The FDR-AX33 records 4K and HD movies in the XAVC S™3 format, which uses MPEG-4 AVC/H.264 for video compression and linear PCM for audio compression, while saving files in a MP4 wrapper which allows for extensive record times and easy editing. Additionally, you can chose to record HD in AVCHD (ideal for HDTV and Blu-ray disc burning) or MP4 HD (ideal for sharing over the internet). Having the ability to switch between all three formats or choosing dual record to capture both XAVC S and MP4 at the same time, makes this camcorder an as versatile as they come.<br>
<br>
<b>High contrast 0.24"" EVF for eye-level framing</b><br>
The FDR-AX33 employs high contrast a 0.24” Tru-Finder EVF which reproduces rich color and deep black. A new optical design of the EVF, using four dual-surface spherical lenses, allows for a 33-degree wide angle view that is amazing clear through the edge of the view finder.<br>
<br>
<b>3 Xtra Fine LCD™ (921K) touch screen</b><br>
The 3” (921k dot) Xtra Fine LCD™ screen displays sharp, bright, vivid images, letting you compose a shot more easily - even outdoors, while enabling you to change settings to best represent the scene. Touch screen functionality allows for easy operation of menus and advanced features like touch focus and metering.<br>
<br>
<b>5.1ch surround sound mic w/ new audio record controls</b><br>
Dolby® Digital 5.1 channel recording captures active sounds coming from all directions, so you can experience your home movies the way you experienced them while recording. Advanced sound features such as Auto Wind Noise Reduction and Premium Closer Voice make it even easier to attain ideal sound quality in various situations. Records high quality linear PCM (XAVC S) and AAC-LC 2ch (MP4).<br>
<br>
<b>Connect, control, backup and share wirelessly with NFC2/Wi-Fi®</b><br>
Easily connect to an Android or iOS smartphone or tablet with Wi-Fi® and the PlayMemories™ Mobile app to control the camcorder (Rec, photo, zoom) or instantly transfer, share movies and photos via your mobile device. NFC (Near Filed Communication) makes it even easier to connect to NFC compatible mobile devices with one touch.<br>
<br>
<b>Broadcast LIVE from your camcorder using Ustream® live-streaming</b><br>
Share the adventure as it happens via Ustream® live streaming4. Now your circle of friends and family can share the excitement in real time by simply logging in to UStream from anywhere. You can also link your favorite social accounts with the streaming to notify your friends when you start streaming video.<br>
<br>
<b>Multi-camera control</b><br>
Add a different point of view by including other camera angles to your movies. The camcorder connects up to five compatible cameras - like an Action Cam - via Wi-Fi® and uses the camcorder’s LCD to preview what the other cameras are seeing and simultaneously start recording on all synced cameras. Use PlayMemories™ Home to easily edit a muli-view movie for a great video experience.<br>
<br>
<b>Automatically creates highlight video in MP4 from multiple clips</b><br>
Highlight Movie Maker7produces a short highlight movie clip to share and enjoy instantly. Using an advanced algorithm, based on the motion gyro, Highlight Movie Maker, selects the best scenes from your videos and automatically creates a MP4 highlight video from multiple clips.";FDR-AX33;sony
26172864;camcorders;"<b>50Mbps XAVC S™3 1920x1080 at 60P, AVCHD® and MP4 codecs</b><br>
Create cinematic video in high definition 1920 x 1080 24p/60p up to 50Mbps in XAVC S™3 and high quality 9.2MP still images. XAVC S3 format uses MPEG-4 AVC/H.264 for video compression and linear PCM for audio compression, while saving files in a MP4 wrapper which allows for extensive record times and easy editing. Experience stunning low-light sensitivity with improved image clarity and drastically reduced grain with Sony’s back-illuminated Exmor R® CMOS sensor.<br>
<br>
<b>26.8mm ZEISS® Lens w/30x Optical/60x Clear Image Zoom</b><br>
Not only is this 26.8mm wide-angle ZEISS® Vario-Tessar lens ideal for capturing grand landscapes, but also allows you to get amazingly close with 30x optical zoom plus 60x Clear Image digital zoom. Most digital zooms use electronic cropping to get closer to the subject, resulting in un-sharp images. With Clear Image Zoom the powerful processor compares patterns found in adjacent pixels and creates new pixels to match selected patterns, resulting in more realistic, higher-quality images. Clear Image Zoom doubles optical zoom for closer photos and video.<br>
<br>
<b>2.7” Clear Photo Plus™ LCD display</b><br>
The 2.7” (16:9) Clear Photo™ LCD (230K) displays sharp, bright, vivid images, letting you compose a shot more easily -- even outdoors, while enabling you to change settings to best represent the scene.<br>
<br>
<b>Optical SteadyShot™ image stabilization w/Active mode</b><br>
Optical SteadyShot™ image stabilization with Active Mode compensates for greater degrees of camera shake to deliver stunningly smooth video from wide angle to full telephoto shooting. In addition, innovative 3-Way Shake-Canceling adds electronic roll stability for even smoother video capture.<br>
<br>
<b>Automatically creates highlight video in MP4 from multiple clips</b><br>
Highlight Movie Maker produces a short highlight movie clip to share and enjoy instantly. Using an advanced algorithm, based on the motion gyro, Highlight Movie Maker selects the best scenes from your videos and automatically creates a MP4 highlight video from multiple clips.<br>
<br>
<b>Connect, control, backup and share wirelessly with NFC/Wi-Fi®</b><br>
Easily connect to an Android o iOS smartphone or tablet with Wi-Fi® and the PlayMemories™ Mobile app to control the camcorder (Rec, photo, zoom) or instantly transfer and share movies and photos via your mobile device. NFC2 (Near Filed Communication) makes it even easier to connect to NFC2 compatible mobile devices with one touch.<br>
<br>
<b>Broadcast LIVE from your camcorder using Ustream™ live-streaming</b><br>
Share the adventure as it happens via Ustream™ live streaming.. Now your circle of friends and family can share the excitement in real time by simply logging in to Ustream™ from anywhere. You can also link your favorite social accounts with the streaming to notify your friends when you start streaming video.<br>
<br>
<b>Built-in USB cable for easy file transfer/charge</b><br>
The high-speed, built-in USB 2.0 cable allows for easy connection to your computer for charging or file transfer without having to remember separate cables. It also fits conveniently into the hand strap so it’s out of the way until you need it. Charging your camcorder is faster than ever now through the USB; for every two minutes of charge time you get one minute of recording time.<br>
<br>
<b>Face Detection with voice enhancement and noise reduction</b><br>
Sony’s Face Detection technology can automatically distinguish between children and adults. Face Detection technology detects up to eight individual faces and adjusts flash, focus, exposure, and white balance to help deliver crisp, properly lit images of family and friends.<br>
<br>
<b>Get creative w/ 7 picture effects for video and still photos</b><br>
Picture Effects add a new level of expression to video and photos, making ordinary landscapes and portraits come to life by heightening mood and emphasizing certain attributes. There are seven different effects such as partial color to make your focal point stand out, or watercolor which looks like a painting.<br>
<br>
<b>Multi-camera control</b><br>
Add a different point of view by including other camera angles to your movies. The camcorder connects to compatible cameras5 - like an Action Cam - via Wi-Fi® and uses the camcorder’s LCD to preview what the other cameras are seeing and simultaneously start recording on all synced cameras. Use PlayMemories™ Home6 to easily edit a muli-view movie for a great video experience.";HDR-CX440/B;sony
30150732;camcorders;"<b>High-spec model that captures the 360° world in spectacular beauty.</b><br>
Beauty as far as the eye can see, and a breathtaking sense of presence making you feel you are ""right there, right now"".<br>
From still images to long movies (max. 25 minutes long), record your memories in a vivid, high resolution 360° world.<br>
The new RICOH THETA S gives you even higher quality and performance.<br>
<b>High Resolution</b><br>
Thanks to dual 1/2.3"" 12M CMOS sensor (output pixel count equivalent to 14M) and newly developed F2.0 lens, you can capture high resolution 360° world.<br>
<b>Full HD Video capture</b><br>
RICOH THETA S enables 25 minutes continuous shooting with 30fps.<br>
<b>Further expanding the possibilities of 360° photography. Equipped with even more advanced functions.</b><br>
- HD Live streaming<br>
- Live View（10fps）<br>
- Long exposure<br>
- 8 GB Memory";"Theta S";ricoh
30692990;camcorders;;"HF G40";canon
30692998;camcorders;;"HF R706";canon
33432729;camcorders;"360° for everyone.<br>
360° view can be enjoyed with high performance and ease of use.<br>
Standard-class model<br>
<br>
<b>Amazingly high performance</b><br>
- Natural 360° still images and movies with excellent quality and highly accurate stitch processing<br>
- Quick response so images can be taken in about 1.5 seconds after the power is turned on<br>
- Thin/light-weight body achieved by unique twin-lens folded optics<br>
<br>
<b>The device can be used in a variety of ways.</b><br>
- iOS and Android are supported. The device can be linked to most smartphones.<br>
- High compatibility with various social networking services<br>
- With a commercial VR viewer, you can fully experience virtual reality.<br>
<br>
<b>Feel closer to a 360° view.</b><br>
- 4-color variations are available<br>
- The internal configuration is optimized to achieve light-weight.<br>
- An evolved main app with simple operation that even a first-time user can use easily.<br>
- Easy editing with the dedicated editing apps ""THETA＋"" and ""THETA＋Video""<br>
<br>
RICOH THETA SC is compatible with the new Google Street View app. The app allows you to capture and publish your photo spheres instantly to Google Maps for people all over the world to explore. You can either shoot photo spheres in the app, or connect it to spherical cameras like RICOH THETA SC.";"THETA SC";ricoh
33432730;camcorders;"360° for everyone.<br>
360° view can be enjoyed with high performance and ease of use.<br>
Standard-class model<br>
<br>
<b>Amazingly high performance</b><br>
- Natural 360° still images and movies with excellent quality and highly accurate stitch processing<br>
- Quick response so images can be taken in about 1.5 seconds after the power is turned on<br>
- Thin/light-weight body achieved by unique twin-lens folded optics<br>
<br>
<b>The device can be used in a variety of ways.</b><br>
- iOS and Android are supported. The device can be linked to most smartphones.<br>
- High compatibility with various social networking services<br>
- With a commercial VR viewer, you can fully experience virtual reality.<br>
<br>
<b>Feel closer to a 360° view.</b><br>
- 4-color variations are available<br>
- The internal configuration is optimized to achieve light-weight.<br>
- An evolved main app with simple operation that even a first-time user can use easily.<br>
- Easy editing with the dedicated editing apps ""THETA＋"" and ""THETA＋Video""<br>
<br>
RICOH THETA SC is compatible with the new Google Street View app. The app allows you to capture and publish your photo spheres instantly to Google Maps for people all over the world to explore. You can either shoot photo spheres in the app, or connect it to spherical cameras like RICOH THETA SC.";"THETA SC";ricoh
33432731;camcorders;"360° for everyone.<br>
360° view can be enjoyed with high performance and ease of use.<br>
Standard-class model<br>
<br>
<b>Amazingly high performance</b><br>
- Natural 360° still images and movies with excellent quality and highly accurate stitch processing<br>
- Quick response so images can be taken in about 1.5 seconds after the power is turned on<br>
- Thin/light-weight body achieved by unique twin-lens folded optics<br>
<br>
<b>The device can be used in a variety of ways.</b><br>
- iOS and Android are supported. The device can be linked to most smartphones.<br>
- High compatibility with various social networking services<br>
- With a commercial VR viewer, you can fully experience virtual reality.<br>
<br>
<b>Feel closer to a 360° view.</b><br>
- 4-color variations are available<br>
- The internal configuration is optimized to achieve light-weight.<br>
- An evolved main app with simple operation that even a first-time user can use easily.<br>
- Easy editing with the dedicated editing apps ""THETA＋"" and ""THETA＋Video""<br>
<br>
RICOH THETA SC is compatible with the new Google Street View app. The app allows you to capture and publish your photo spheres instantly to Google Maps for people all over the world to explore. You can either shoot photo spheres in the app, or connect it to spherical cameras like RICOH THETA SC.";"THETA SC";ricoh
